County	Contest	Candidate	CountyVotes	CountyPercent	StateVotes	StatePercent 
Anderson	Kansas House of Representatives 005	D-Doug Walker	1112	37	3708	41 
Anderson	Kansas House of Representatives 005	R-Kevin Jones	1861	63	5399	59 
Anderson	Supreme Court Justice- 01	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Supreme Court Justice- 01	Carol A. Beier -  YES	1205	40	603487	56 
Anderson	Supreme Court Justice- 01	Carol A. Beier - NO	1803	60	471746	44 
Anderson	Supreme Court Justice- 02	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Supreme Court Justice- 02	Dan Biles -  YES	1150	39	593419	56 
Anderson	Supreme Court Justice- 02	Dan Biles - NO	1825	61	475709	45 
Anderson	Supreme Court Justice- 03	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Supreme Court Justice- 03	Lawton R. Nuss -  YES	1153	39	589756	55 
Anderson	Supreme Court Justice- 03	Lawton R. Nuss - NO	1825	61	477811	45 
Anderson	Supreme Court Justice- 05	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Supreme Court Justice- 05	Marla Luckert -  YES	1154	39	596888	56 
Anderson	Supreme Court Justice- 05	Marla Luckert - NO	1811	61	469735	44 
Anderson	Supreme Court Justice- 07	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Supreme Court Justice- 07	Caleb Stegall -  YES	1894	63	755545	71 
Anderson	Supreme Court Justice- 07	Caleb Stegall - NO	1113	37	310988	29 
Anderson	Court of Appeals Judge- 02	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Court of Appeals Judge- 02	Steve Leben -  YES	1218	42	617131	60 
Anderson	Court of Appeals Judge- 02	Steve Leben - NO	1709	58	416193	40 
Anderson	Court of Appeals Judge- 03	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Court of Appeals Judge- 03	G. Joseph Pierron -  YES Jr.	1224	42	611319	59 
Anderson	Court of Appeals Judge- 03	G. Joseph Pierron - NO Jr.	1692	58	418095	41 
Anderson	Court of Appeals Judge- 06	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Court of Appeals Judge- 06	David E. Bruns -  YES	1775	61	741207	72 
Anderson	Court of Appeals Judge- 06	David E. Bruns - NO	1134	39	289276	28 
Anderson	Court of Appeals Judge- 08	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Court of Appeals Judge- 08	G. Gordon Atcheson -  YES	1199	41	609239	59 
Anderson	Court of Appeals Judge- 08	G. Gordon Atcheson - NO	1706	59	418119	41 
Anderson	Court of Appeals Judge- 09	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Court of Appeals Judge- 09	Karen Arnold-Burger  - YES	1206	42	619984	60 
Anderson	Court of Appeals Judge- 09	Karen Arnold-Burger - NO	1680	58	407733	40 
Anderson	Court of Appeals Judge- 14	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Court of Appeals Judge- 14	Kathryn A. Gardner -  YES	1787	61	747292	73 
Anderson	Court of Appeals Judge- 14	Kathryn A. Gardner - NO	1122	39	281959	27 
Anderson	Constitutional Amendment	Candidate	CountyVotes	County	StateVotes	State 
Anderson	Constitutional Amendment	Constitutional Amendment -  YES	2797	89	914850	81 
Anderson	Constitutional Amendment	Constitutional Amendment - NO	355	11	210123	19 
Atchison	President / Vice President	Candidate	CountyVotes	County	StateVotes	State 
Atchison	President / Vice President	i-Jill Stein	160	3	22698	2 
Atchison	President / Vice President	D-Hillary Rodham Clinton	1946	30	414788	36 
Atchison	President / Vice President	L-Gary Johnson	310	5	53648	5 
Atchison	President / Vice President	R-Donald J. Trump	3977	62	656009	57 
Atchison	United States Senate	Candidate	CountyVotes	County	StateVotes	State 
Atchison	United States Senate	D-Patrick Wiesner	1874	29	368672	32 
Atchison	United States Senate	L-Robert D. Garrard	290	5	63428	6 
Atchison	United States Senate	R-Jerry Moran	4223	66	716661	62 
Atchison	United States House of Representatives 002	Candidate	CountyVotes	County	StateVotes	State 
Atchison	United States House of Representatives 002	D-Britani Potter	1585	25	94561	33 
Atchison	United States House of Representatives 002	L-James Houston Bales	328	5	18700	6 
Atchison	United States House of Representatives 002	R-Lynn Jenkins	4511	70	177851	61 
Atchison	Kansas Senate 001	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Kansas Senate 001	D-Jerry Henry	3743	58	12891	42 
Atchison	Kansas Senate 001	R-Dennis D. Pyle	2761	43	18055	58 
Atchison	Kansas House of Representatives 063	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Kansas House of Representatives 063	D-W. Brett Neibling	1216	21	2447	27 
Atchison	Kansas House of Representatives 063	R-John R. Eplee	4522	79	6634	73 
Atchison	Member, State Board of Education 006	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Member, State Board of Education 006	i-Aaron Estabrook	2283	40	39419	37 
Atchison	Member, State Board of Education 006	R-Deena L. Horst	3485	60	67619	63 
Atchison	Supreme Court Justice- 01	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Supreme Court Justice- 01	Carol A. Beier -  YES	3063	51	603487	56 
Atchison	Supreme Court Justice- 01	Carol A. Beier - NO	2927	49	471746	44 
Atchison	Supreme Court Justice- 02	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Supreme Court Justice- 02	Dan Biles -  YES	2957	50	593419	56 
Atchison	Supreme Court Justice- 02	Dan Biles - NO	3007	50	475709	45 
Atchison	Supreme Court Justice- 03	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Supreme Court Justice- 03	Lawton R. Nuss -  YES	2969	50	589756	55 
Atchison	Supreme Court Justice- 03	Lawton R. Nuss - NO	2982	50	477811	45 
Atchison	Supreme Court Justice- 05	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Supreme Court Justice- 05	Marla Luckert -  YES	3051	51	596888	56 
Atchison	Supreme Court Justice- 05	Marla Luckert - NO	2914	49	469735	44 
Atchison	Supreme Court Justice- 07	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Supreme Court Justice- 07	Caleb Stegall -  YES	3931	66	755545	71 
Atchison	Supreme Court Justice- 07	Caleb Stegall - NO	2025	34	310988	29 
Atchison	Court of Appeals Judge- 02	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Court of Appeals Judge- 02	Steve Leben -  YES	3047	53	617131	60 
Atchison	Court of Appeals Judge- 02	Steve Leben - NO	2758	48	416193	40 
Atchison	Court of Appeals Judge- 03	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Court of Appeals Judge- 03	G. Joseph Pierron -  YES Jr.	3048	53	611319	59 
Atchison	Court of Appeals Judge- 03	G. Joseph Pierron - NO Jr.	2729	47	418095	41 
Atchison	Court of Appeals Judge- 06	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Court of Appeals Judge- 06	David E. Bruns -  YES	3800	66	741207	72 
Atchison	Court of Appeals Judge- 06	David E. Bruns - NO	1985	34	289276	28 
Atchison	Court of Appeals Judge- 08	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Court of Appeals Judge- 08	G. Gordon Atcheson -  YES	3017	52	609239	59 
Atchison	Court of Appeals Judge- 08	G. Gordon Atcheson - NO	2762	48	418119	41 
Atchison	Court of Appeals Judge- 09	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Court of Appeals Judge- 09	Karen Arnold-Burger  - YES	3082	54	619984	60 
Atchison	Court of Appeals Judge- 09	Karen Arnold-Burger - NO	2682	47	407733	40 
Atchison	Court of Appeals Judge- 14	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Court of Appeals Judge- 14	Kathryn A. Gardner -  YES	3896	67	747292	73 
Atchison	Court of Appeals Judge- 14	Kathryn A. Gardner - NO	1904	33	281959	27 
Atchison	Constitutional Amendment	Candidate	CountyVotes	County	StateVotes	State 
Atchison	Constitutional Amendment	Constitutional Amendment -  YES	5436	86	914850	81 
Atchison	Constitutional Amendment	Constitutional Amendment - NO	874	14	210123	19 
Barber	President / Vice President	Candidate	CountyVotes	County	StateVotes	State 
Barber	President / Vice President	i-Jill Stein	28	1	22698	2 
Barber	President / Vice President	D-Hillary Rodham Clinton	281	13	414788	36 
Barber	President / Vice President	L-Gary Johnson	78	4	53648	5 
Barber	President / Vice President	R-Donald J. Trump	1822	83	656009	57 
Barber	United States Senate	Candidate	CountyVotes	County	StateVotes	State 
Barber	United States Senate	D-Patrick Wiesner	272	12	368672	32 
Barber	United States Senate	L-Robert D. Garrard	112	5	63428	6 
Barber	United States Senate	R-Jerry Moran	1808	83	716661	62 
Barber	United States House of Representatives 004	Candidate	CountyVotes	County	StateVotes	State 
Barber	United States House of Representatives 004	i-Miranda Allen	560	25	18358	7 
Barber	United States House of Representatives 004	D-Daniel B. Giroux	173	8	78822	29 
Barber	United States House of Representatives 004	L-Gorden J. Bakken	32	2	7420	3 
Barber	United States House of Representatives 004	R-Michael Pompeo	1436	65	163406	61 
Barber	Kansas Senate 032	Candidate	CountyVotes	County	StateVotes	State 
Barber	Kansas Senate 032	D-Don Shimkus	440	21	9621	38 
Barber	Kansas Senate 032	R-Larry W. Alley	1660	79	15852	62 
Barber	Kansas House of Representatives 116	Candidate	CountyVotes	County	StateVotes	State 
Barber	Kansas House of Representatives 116	D-Jolene E. Roitman	551	26	3687	40 
Barber	Kansas House of Representatives 116	R-Kyle D. Hoffman	1599	74	5434	60 
Barber	Supreme Court Justice- 01	Candidate	CountyVotes	County	StateVotes	State 
Barber	Supreme Court Justice- 01	Carol A. Beier -  YES	881	42	603487	56 
Barber	Supreme Court Justice- 01	Carol A. Beier - NO	1208	58	471746	44 
Barber	Supreme Court Justice- 02	Candidate	CountyVotes	County	StateVotes	State 
Barber	Supreme Court Justice- 02	Dan Biles -  YES	865	42	593419	56 
Barber	Supreme Court Justice- 02	Dan Biles - NO	1196	58	475709	45 
Barber	Supreme Court Justice- 03	Candidate	CountyVotes	County	StateVotes	State 
Barber	Supreme Court Justice- 03	Lawton R. Nuss -  YES	857	42	589756	55 
Barber	Supreme Court Justice- 03	Lawton R. Nuss - NO	1198	58	477811	45 
Barber	Supreme Court Justice- 05	Candidate	CountyVotes	County	StateVotes	State 
Barber	Supreme Court Justice- 05	Marla Luckert -  YES	867	42	596888	56 
Barber	Supreme Court Justice- 05	Marla Luckert - NO	1184	58	469735	44 
Barber	Supreme Court Justice- 07	Candidate	CountyVotes	County	StateVotes	State 
Barber	Supreme Court Justice- 07	Caleb Stegall -  YES	1376	66	755545	71 
Barber	Supreme Court Justice- 07	Caleb Stegall - NO	698	34	310988	29 
Barber	Court of Appeals Judge- 02	Candidate	CountyVotes	County	StateVotes	State 
Barber	Court of Appeals Judge- 02	Steve Leben -  YES	902	46	617131	60 
Barber	Court of Appeals Judge- 02	Steve Leben - NO	1067	54	416193	40 
Barber	Court of Appeals Judge- 03	Candidate	CountyVotes	County	StateVotes	State 
Barber	Court of Appeals Judge- 03	G. Joseph Pierron -  YES Jr.	857	44	611319	59 
Barber	Court of Appeals Judge- 03	G. Joseph Pierron - NO Jr.	1091	56	418095	41 
Barber	Court of Appeals Judge- 06	Candidate	CountyVotes	County	StateVotes	State 
Barber	Court of Appeals Judge- 06	David E. Bruns -  YES	1274	66	741207	72 
Barber	Court of Appeals Judge- 06	David E. Bruns - NO	668	34	289276	28 
Barber	Court of Appeals Judge- 08	Candidate	CountyVotes	County	StateVotes	State 
Barber	Court of Appeals Judge- 08	G. Gordon Atcheson -  YES	859	44	609239	59 
Barber	Court of Appeals Judge- 08	G. Gordon Atcheson - NO	1080	56	418119	41 
Barber	Court of Appeals Judge- 09	Candidate	CountyVotes	County	StateVotes	State 
Barber	Court of Appeals Judge- 09	Karen Arnold-Burger  - YES	863	45	619984	60 
Barber	Court of Appeals Judge- 09	Karen Arnold-Burger - NO	1062	55	407733	40 
Barber	Court of Appeals Judge- 14	Candidate	CountyVotes	County	StateVotes	State 
Barber	Court of Appeals Judge- 14	Kathryn A. Gardner -  YES	1296	66	747292	73 
Barber	Court of Appeals Judge- 14	Kathryn A. Gardner - NO	665	34	281959	27 
Barber	Constitutional Amendment	Candidate	CountyVotes	County	StateVotes	State 
Barber	Constitutional Amendment	Constitutional Amendment -  YES	1884	89	914850	81 
Barber	Constitutional Amendment	Constitutional Amendment - NO	226	11	210123	19 
Barton	President / Vice President	Candidate	CountyVotes	County	StateVotes	State 
Barton	President / Vice President	i-Jill Stein	155	2	22698	2 
Barton	President / Vice President	D-Hillary Rodham Clinton	1823	18	414788	36 
Barton	President / Vice President	L-Gary Johnson	344	3	53648	5 
Barton	President / Vice President	R-Donald J. Trump	7766	77	656009	57 
Barton	United States Senate	Candidate	CountyVotes	County	StateVotes	State 
Barton	United States Senate	D-Patrick Wiesner	1296	13	368672	32 
Barton	United States Senate	L-Robert D. Garrard	537	5	63428	6 
Barton	United States Senate	R-Jerry Moran	8203	82	716661	62 
Barton	United States House of Representatives 001	Candidate	CountyVotes	County	StateVotes	State 
Barton	United States House of Representatives 001	i-Alan LaPolice	2808	28	66218	26 
Barton	United States House of Representatives 001	L-Kerry Burt	542	5	18415	7 
Barton	United States House of Representatives 001	R-Roger Marshall	6666	67	166051	66 
Barton	Kansas Senate 033	Candidate	CountyVotes	County	StateVotes	State 
Barton	Kansas Senate 033	D-Matt Bristow	3170	32	6358	23 
Barton	Kansas Senate 033	R-Mary Jo Taylor	6631	68	20759	77 
Barton	Supreme Court Justice- 01	Candidate	CountyVotes	County	StateVotes	State 
Barton	Supreme Court Justice- 01	Carol A. Beier -  YES	4978	52	603487	56 
Barton	Supreme Court Justice- 01	Carol A. Beier - NO	4627	48	471746	44 
Barton	Supreme Court Justice- 02	Candidate	CountyVotes	County	StateVotes	State 
Barton	Supreme Court Justice- 02	Dan Biles -  YES	4940	51	593419	56 
Barton	Supreme Court Justice- 02	Dan Biles - NO	4674	49	475709	45 
Barton	Supreme Court Justice- 03	Candidate	CountyVotes	County	StateVotes	State 
Barton	Supreme Court Justice- 03	Lawton R. Nuss -  YES	4951	52	589756	55 
Barton	Supreme Court Justice- 03	Lawton R. Nuss - NO	4649	48	477811	45 
Barton	Supreme Court Justice- 05	Candidate	CountyVotes	County	StateVotes	State 
Barton	Supreme Court Justice- 05	Marla Luckert -  YES	4961	52	596888	56 
Barton	Supreme Court Justice- 05	Marla Luckert - NO	4624	48	469735	44 
Barton	Supreme Court Justice- 07	Candidate	CountyVotes	County	StateVotes	State 
Barton	Supreme Court Justice- 07	Caleb Stegall -  YES	6732	70	755545	71 
Barton	Supreme Court Justice- 07	Caleb Stegall - NO	2883	30	310988	29 
Barton	Court of Appeals Judge- 02	Candidate	CountyVotes	County	StateVotes	State 
Barton	Court of Appeals Judge- 02	Steve Leben -  YES	5264	55	617131	60 
Barton	Court of Appeals Judge- 02	Steve Leben - NO	4251	45	416193	40 
Barton	Court of Appeals Judge- 03	Candidate	CountyVotes	County	StateVotes	State 
Barton	Court of Appeals Judge- 03	G. Joseph Pierron -  YES Jr.	5167	55	611319	59 
Barton	Court of Appeals Judge- 03	G. Joseph Pierron - NO Jr.	4299	45	418095	41 
Barton	Court of Appeals Judge- 06	Candidate	CountyVotes	County	StateVotes	State 
Barton	Court of Appeals Judge- 06	David E. Bruns -  YES	6478	68	741207	72 
Barton	Court of Appeals Judge- 06	David E. Bruns - NO	2993	32	289276	28 
Barton	Court of Appeals Judge- 08	Candidate	CountyVotes	County	StateVotes	State 
Barton	Court of Appeals Judge- 08	G. Gordon Atcheson -  YES	5155	55	609239	59 
Barton	Court of Appeals Judge- 08	G. Gordon Atcheson - NO	4292	45	418119	41 
Barton	Court of Appeals Judge- 09	Candidate	CountyVotes	County	StateVotes	State 
Barton	Court of Appeals Judge- 09	Karen Arnold-Burger  - YES	5237	55	619984	60 
Barton	Court of Appeals Judge- 09	Karen Arnold-Burger - NO	4215	45	407733	40 
Barton	Court of Appeals Judge- 14	Candidate	CountyVotes	County	StateVotes	State 
Barton	Court of Appeals Judge- 14	Kathryn A. Gardner -  YES	6572	69	747292	73 
Barton	Court of Appeals Judge- 14	Kathryn A. Gardner - NO	2910	31	281959	27 
Barton	Constitutional Amendment	Candidate	CountyVotes	County	StateVotes	State 
Barton	Constitutional Amendment	Constitutional Amendment -  YES	8818	88	914850	81 
Barton	Constitutional Amendment	Constitutional Amendment - NO	1169	12	210123	19 
Bourbon	President / Vice President	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	President / Vice President	i-Jill Stein	106	2	22698	2 
Bourbon	President / Vice President	D-Hillary Rodham Clinton	1306	22	414788	36 
Bourbon	President / Vice President	L-Gary Johnson	192	3	53648	5 
Bourbon	President / Vice President	R-Donald J. Trump	4314	73	656009	57 
Bourbon	United States Senate	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	United States Senate	D-Patrick Wiesner	1281	22	368672	32 
Bourbon	United States Senate	L-Robert D. Garrard	331	6	63428	6 
Bourbon	United States Senate	R-Jerry Moran	4321	73	716661	62 
Bourbon	United States House of Representatives 002	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	United States House of Representatives 002	D-Britani Potter	1123	19	94561	33 
Bourbon	United States House of Representatives 002	L-James Houston Bales	294	5	18700	6 
Bourbon	United States House of Representatives 002	R-Lynn Jenkins	4526	76	177851	61 
Bourbon	Kansas Senate 012	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Kansas Senate 012	D-Christopher B. Johnston	412	21	6750	27 
Bourbon	Kansas Senate 012	R-Caryn Tyson	1555	79	18576	73 
Bourbon	Kansas Senate 013	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Kansas Senate 013	D-Lynn D. Grant	1383	36	11963	44 
Bourbon	Kansas Senate 013	R-Jake LaTurner	2467	64	15330	56 
Bourbon	Supreme Court Justice- 01	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Supreme Court Justice- 01	Carol A. Beier -  YES	2451	44	603487	56 
Bourbon	Supreme Court Justice- 01	Carol A. Beier - NO	3185	57	471746	44 
Bourbon	Supreme Court Justice- 02	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Supreme Court Justice- 02	Dan Biles -  YES	2402	43	593419	56 
Bourbon	Supreme Court Justice- 02	Dan Biles - NO	3188	57	475709	45 
Bourbon	Supreme Court Justice- 03	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Supreme Court Justice- 03	Lawton R. Nuss -  YES	2458	44	589756	55 
Bourbon	Supreme Court Justice- 03	Lawton R. Nuss - NO	3156	56	477811	45 
Bourbon	Supreme Court Justice- 05	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Supreme Court Justice- 05	Marla Luckert -  YES	2423	43	596888	56 
Bourbon	Supreme Court Justice- 05	Marla Luckert - NO	3172	57	469735	44 
Bourbon	Supreme Court Justice- 07	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Supreme Court Justice- 07	Caleb Stegall -  YES	3813	69	755545	71 
Bourbon	Supreme Court Justice- 07	Caleb Stegall - NO	1716	31	310988	29 
Bourbon	Court of Appeals Judge- 02	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Court of Appeals Judge- 02	Steve Leben -  YES	2530	46	617131	60 
Bourbon	Court of Appeals Judge- 02	Steve Leben - NO	2970	54	416193	40 
Bourbon	Court of Appeals Judge- 03	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Court of Appeals Judge- 03	G. Joseph Pierron -  YES Jr.	2503	46	611319	59 
Bourbon	Court of Appeals Judge- 03	G. Joseph Pierron - NO Jr.	2966	54	418095	41 
Bourbon	Court of Appeals Judge- 06	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Court of Appeals Judge- 06	David E. Bruns -  YES	3715	68	741207	72 
Bourbon	Court of Appeals Judge- 06	David E. Bruns - NO	1778	32	289276	28 
Bourbon	Court of Appeals Judge- 08	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Court of Appeals Judge- 08	G. Gordon Atcheson -  YES	2529	46	609239	59 
Bourbon	Court of Appeals Judge- 08	G. Gordon Atcheson - NO	2940	54	418119	41 
Bourbon	Court of Appeals Judge- 09	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Court of Appeals Judge- 09	Karen Arnold-Burger  - YES	2577	47	619984	60 
Bourbon	Court of Appeals Judge- 09	Karen Arnold-Burger - NO	2912	53	407733	40 
Bourbon	Court of Appeals Judge- 14	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Court of Appeals Judge- 14	Kathryn A. Gardner -  YES	3748	69	747292	73 
Bourbon	Court of Appeals Judge- 14	Kathryn A. Gardner - NO	1706	31	281959	27 
Bourbon	Constitutional Amendment	Candidate	CountyVotes	County	StateVotes	State 
Bourbon	Constitutional Amendment	Constitutional Amendment -  YES	5172	89	914850	81 
Bourbon	Constitutional Amendment	Constitutional Amendment - NO	659	11	210123	19 
Brown	President / Vice President	Candidate	CountyVotes	County	StateVotes	State 
Brown	President / Vice President	i-Jill Stein	97	2	22698	2 
Brown	President / Vice President	D-Hillary Rodham Clinton	850	22	414788	36 
Brown	President / Vice President	L-Gary Johnson	152	4	53648	5 
Brown	President / Vice President	R-Donald J. Trump	2861	72	656009	57 
Brown	United States Senate	Candidate	CountyVotes	County	StateVotes	State 
Brown	United States Senate	D-Patrick Wiesner	734	18	368672	32 
Brown	United States Senate	L-Robert D. Garrard	187	5	63428	6 
Brown	United States Senate	R-Jerry Moran	3066	77	716661	62 
Brown	United States House of Representatives 002	Candidate	CountyVotes	County	StateVotes	State 
Brown	United States House of Representatives 002	D-Britani Potter	725	18	94561	33 
Brown	United States House of Representatives 002	L-James Houston Bales	199	5	18700	6 
Brown	United States House of Representatives 002	R-Lynn Jenkins	3066	77	177851	61 
Brown	Kansas Senate 001	Candidate	CountyVotes	County	StateVotes	State 
Brown	Kansas Senate 001	D-Jerry Henry	1784	45	12891	42 
Brown	Kansas Senate 001	R-Dennis D. Pyle	2178	55	18055	58 
Brown	Member, State Board of Education 006	Candidate	CountyVotes	County	StateVotes	State 
Brown	Member, State Board of Education 006	i-Aaron Estabrook	1136	31	39419	37 
Brown	Member, State Board of Education 006	R-Deena L. Horst	2523	69	67619	63 
Brown	Supreme Court Justice- 01	Candidate	CountyVotes	County	StateVotes	State 
